listing_id,listing_posted_at,street_number,street,city,state,postal_code,submarket,listing_type,listing_size,listing_maximum_contiguous_size,listing_minimum_divisible_size,listing_term_in_months,listing_rate_per_sqft_per_year,listing_terms,listing_available_on,avatar_url,unit,floor,floorplan,uses,property_id,property_avatar_url,property_name,property_description,property_constructed,property_floors,property_building_class,property_renovated,property_latitude,property_longitude,listing_url,property_url,agent1_name,agent1_company,agent1_email_addresses,agent1_phone,agent2_name,agent2_company,agent2_email_addresses,agent2_phone,agent3_name,agent3_company,agent3_email_addresses,agent3_phone
1249727,2018-08-06T23:11:21Z,7601,S Congress Ave,Austin,TX,78748,,building,9600,,,,13.25,,2018-03-20 18:30:00 UTC,,Building 6,,,"Mixed Use,Office,Retail",247852,,7601 S Congress Ave,,,,,,30.1832427,-97.78205659999999,https://42floors.com/us/tx/austin/7601-s-congress-ave?listing=1249727,https://42floors.com/us/tx/austin/7601-s-congress-ave,Haley Berry Smith,Equitable Commercial Realty,hsmith@ecrtx.com,+15125050014,Ryan Wilson,Equitable Commercial Realty,rwilson@ecrtx.com,+15125050006,Lee Ellison,Equitable Commercial Realty,lellison@ecrtx.com,+15125050015
1249726,2018-08-06T23:10:32Z,7601,S Congress Ave,Austin,TX,78748,,building,26110,,,,13.25,,2018-03-20 18:30:00 UTC,,Building 4,,,"Mixed Use,Office,Retail",247852,,7601 S Congress Ave,,,,,,30.1832427,-97.78205659999999,https://42floors.com/us/tx/austin/7601-s-congress-ave?listing=1249726,https://42floors.com/us/tx/austin/7601-s-congress-ave,Haley Berry Smith,Equitable Commercial Realty,hsmith@ecrtx.com,+15125050014,Ryan Wilson,Equitable Commercial Realty,rwilson@ecrtx.com,+15125050006,Lee Ellison,Equitable Commercial Realty,lellison@ecrtx.com,+15125050015
1249725,2018-08-06T23:09:39Z,7601,S Congress Ave,Austin,TX,78748,,building,14160,,,,13.25,,2018-03-20 18:30:00 UTC,,Building 3,,,"Mixed Use,Office,Retail",247852,,7601 S Congress Ave,,,,,,30.1832427,-97.78205659999999,https://42floors.com/us/tx/austin/7601-s-congress-ave?listing=1249725,https://42floors.com/us/tx/austin/7601-s-congress-ave,Haley Berry Smith,Equitable Commercial Realty,hsmith@ecrtx.com,+15125050014,Ryan Wilson,Equitable Commercial Realty,rwilson@ecrtx.com,+15125050006,Lee Ellison,Equitable Commercial Realty,lellison@ecrtx.com,+15125050015
1249724,2018-08-06T23:08:39Z,7601,S Congress Ave,Austin,TX,78748,,building,3480,,,,13.25,,2018-03-20 18:30:00 UTC,,Building 2,,,"Mixed Use,Office,Retail",247852,,7601 S Congress Ave,,,,,,30.1832427,-97.78205659999999,https://42floors.com/us/tx/austin/7601-s-congress-ave?listing=1249724,https://42floors.com/us/tx/austin/7601-s-congress-ave,Haley Berry Smith,Equitable Commercial Realty,hsmith@ecrtx.com,+15125050014,Ryan Wilson,Equitable Commercial Realty,rwilson@ecrtx.com,+15125050006,Lee Ellison,Equitable Commercial Realty,lellison@ecrtx.com,+15125050015
1249723,2018-08-06T23:06:38Z,7601,S Congress Ave,Austin,TX,78748,,building,18320,,,,13.25,,2018-03-20 18:30:00 UTC,,Building 1,,,"Mixed Use,Office,Retail",247852,,7601 S Congress Ave,,,,,,30.1832427,-97.78205659999999,https://42floors.com/us/tx/austin/7601-s-congress-ave?listing=1249723,https://42floors.com/us/tx/austin/7601-s-congress-ave,Ryan Wilson,Equitable Commercial Realty,rwilson@ecrtx.com,+15125050006,Haley Berry Smith,Equitable Commercial Realty,hsmith@ecrtx.com,+15125050014,Lee Ellison,Equitable Commercial Realty,lellison@ecrtx.com,+15125050015
1249714,2018-08-06T22:19:39Z,7600,Burnet Rd,Austin,TX,78757,Allandale,unit,890,,,,14.0,NNN,2018-12-01 18:30:00 UTC,,106,1,http://assets.42floors.com/documents/53e5/332c/0fde/bb074b7152b693325b7d93c9c575,Office,107616,https://42floors.com/images/H4f0e592561b128d3dfe1a48e153f8900ea50622cB505153OS1000x700W0se/e7b3692c46ee47cf3ba77cd3f5325e893f0ed90c,7600 Burnet Rd,"",,5,B,,30.3531337,-97.7337447,https://42floors.com/us/tx/austin/7600-burnet-rd?listing=1249714,https://42floors.com/us/tx/austin/7600-burnet-rd,Jason Steinberg,Equitable Commercial Realty,jsteinberg@ecrtx.com,+15125050004,Rebecca Zigterman,Equitable Commercial Realty,rzigterman@ecrtx.com,+15125050003,,,,
1216170,2018-08-06T15:58:01Z,4414,Centerview Dr,San Antonio,TX,78228,Northwest Side,unit,390,,,,,,2018-07-16 05:55:56 UTC,,274,,,Office,121497,https://42floors.com/images/H2bb6f20e993907ff1cc7c02e0d1bc0bf13100daaB505153OS1000x700W0se/3a1bca080fd421fe5e6feb1bf8202ccaacecaec7,4414 Centerview Dr,"",,,"",,29.487532,-98.56926639999999,https://42floors.com/us/tx/san-antonio/4414-centerview-dr?listing=1216170,https://42floors.com/us/tx/san-antonio/4414-centerview-dr,Jill Strauss,BRASS,jstrauss@magirealestate.com,+12103405500,Brenda Davila,BRASS,brenda@brass.us,+12103634964,Erik Brass,BRASS,erik@brass.us,+12105358765
1249478,2018-08-06T12:01:12Z,5716,W US Hwy 290 Service Rd,Austin,TX,78735,East Oak Hill,unit,80,180,,,,,2018-08-06 12:00:44 UTC,,100,,,Office,457705,https://42floors.com/images/He698c02aaced4fe36f3ad5e82412700efce318ffB505153OS1000x700W0se/ca939d698a675a4162f8d36b019f1e90e12e8add,5716 W US Hwy 290 Service Rd,,,,,,30.2369076,-97.8473133,https://42floors.com/us/tx/austin/5716-w-us-hwy-290-service-rd?listing=1249478,https://42floors.com/us/tx/austin/5716-w-us-hwy-290-service-rd,Commercial Market Exchange,Commercial Market Exchange,info@cmeatx.com,+15129121070,,,,,,,,
1249347,2018-08-06T11:14:31Z,9130,Jollyville Rd,Austin,TX,78759,,building,61950,,,,,,2018-08-06 11:12:14 UTC,,,,,Office,440670,https://42floors.com/images/He817bc2987cb0889c5785797378ee85518d82213B505153OS1000x700W0se/b897d6aa1317e74ccfa3395fd282ea2168a7625c,9130 Jollyville Rd,,1985,3,B,2013,30.38244779999999,-97.7446834,https://42floors.com/us/tx/austin/9130-jollyville-rd?listing=1249347,https://42floors.com/us/tx/austin/9130-jollyville-rd,Russell Walters,"Wes Walters Realty, Inc.",russell@weswaltersrealty.com,+15123452060,Wes Walters,"Wes Walters Realty, Inc.",weswalters@weswaltersrealty.com,+15123452060,,,,
970951,2018-08-06T08:13:01Z,505,Jefferson St,Bastrop,TX,78602,,unit,650,,,,18.0,,2018-01-11 05:50:04 UTC,,,,,"Office,Retail",350656,https://42floors.com/images/H5cf406999e227d5cf769096e0fec372d3e830858B505153OS1000x700W0se/0f29806ec9f82547d385df94747a3b9d858ff890,505 Jefferson St,,1982,,,,30.1058394,-97.3159677,https://42floors.com/us/tx/bastrop/505-jefferson-st?listing=970951,https://42floors.com/us/tx/bastrop/505-jefferson-st,Mary Ann Green,Coldwell Banker Green-Mills,magreen@austin.rr.com,+15126265308,,,,,,,,
